,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
170,2012-08-12,R20,Essendon,North Melbourne,76,100,1529.12,1580.58,1579.12,1512.37,1597.33,-16.75,16.75,Away Win,2012
171,2012-08-17,R21,Geelong,St Kilda,123,81,1595.6,1587.21,1595.6,1621.8,1561.02,26.19,-26.19,Home Win,2012
172,2012-08-18,R21,Brisbane Lions,Adelaide,95,85,1396.13,1663.84,1446.13,1407.77,1652.21,11.63,-11.63,Home Win,2012
173,2012-08-18,R21,Fremantle,Richmond,94,72,1546.0,1563.35,1596.0,1560.65,1548.71,14.64,-14.64,Home Win,2012
174,2012-08-18,R21,Collingwood,North Melbourne,61,91,1610.27,1597.33,1610.27,1588.92,1618.68,-21.35,21.35,Away Win,2012
175,2012-08-18,R21,Essendon,Carlton,60,156,1512.37,1493.55,1562.37,1451.36,1554.56,-61.01,61.01,Away Win,2012
176,2012-08-18,R21,GWS,Melbourne,59,84,1215.83,1305.14,1265.83,1200.86,1320.1,-14.96,14.96,Away Win,2012
177,2012-08-19,R21,Hawthorn,Gold Coast,129,65,1736.16,1249.5,1786.16,1738.52,1247.15,2.36,-2.36,Home Win,2012
178,2012-08-19,R21,Footscray,Sydney,85,167,1320.84,1682.04,1370.84,1310.7,1692.18,-10.14,10.14,Away Win,2012
179,2012-08-19,R21,Port Adelaide,West Coast,50,98,1364.76,1560.08,1364.76,1352.03,1572.8,-12.72,12.72,Away Win,2012
180,2012-08-24,R22,Richmond,Essendon,102,57,1548.71,1451.36,1598.71,1564.58,1435.49,15.86,-15.86,Home Win,2012
181,2012-08-25,R22,St Kilda,GWS,163,35,1561.02,1200.86,1611.02,1569.73,1192.15,8.71,-8.71,Home Win,2012
182,2012-08-25,R22,Port Adelaide,Brisbane Lions,93,104,1352.03,1407.77,1352.03,1344.2,1415.6,-7.84,7.84,Away Win,2012
183,2012-08-25,R22,Sydney,Hawthorn,95,102,1692.18,1738.52,1742.18,1685.32,1745.37,-6.86,6.86,Away Win,2012
184,2012-08-25,R22,Gold Coast,Carlton,98,86,1247.15,1554.56,1297.15,1260.72,1540.99,13.57,-13.57,Home Win,2012
185,2012-08-25,R22,West Coast,Collingwood,107,58,1572.8,1588.92,1622.8,1599.97,1561.74,27.17,-27.17,Home Win,2012
186,2012-08-26,R22,North Melbourne,Fremantle,79,132,1618.68,1560.65,1668.68,1578.36,1600.97,-40.32,40.32,Away Win,2012
187,2012-08-26,R22,Melbourne,Adelaide,81,150,1320.1,1652.21,1370.1,1309.72,1662.59,-10.38,10.38,Away Win,2012
188,2012-08-26,R22,Geelong,Footscray,107,73,1621.8,1310.7,1671.8,1625.88,1306.62,4.08,-4.08,Home Win,2012
189,2012-08-31,R23,Hawthorn,West Coast,95,70,1745.37,1599.97,1795.37,1753.31,1592.04,7.93,-7.93,Home Win,2012
190,2012-09-01,R23,Geelong,Sydney,112,78,1625.88,1685.32,1675.88,1648.35,1662.85,22.47,-22.47,Home Win,2012
191,2012-09-01,R23,Adelaide,Gold Coast,153,62,1662.59,1260.72,1662.59,1669.35,1253.95,6.77,-6.77,Home Win,2012
